target_id	day0_1_count	day0_1_tpm	day0_2_count	day0_2_tpm	day0_3_count	day0_3_tpm	day1_1_count	day1_1_tpm	day1_2_count	day1_2_tpm	day1_3_count	day1_3_tpm	day2_1_count	day2_1_tpm	day2_2_count	day2_2_tpm	day2_3_count	day2_3_tpm
FBtr0083721	0	0	0	0	0	0	0	0	2.54E-08	3.13E-11	0	0	0	0	0	0	2.35E-08	2.40E-11
FBtr0332806	0	0	8.33601	0.0083356	0	0	0	0	0	0	0	0	1.48443	0.00113798	1.09813	0.000706684	2.0491	0.00129305
FBtr0082071	11	0.012268	0	0	3.04883	0.003141	0	0	1.05351	0.000785883	0	0	0	0	0	0	0	0
FBtr0072163	1011	3.30059	1861	5.32701	1713	5.16597	234	0.530818	485	1.05906	505	1.01404	228	0.500344	422	0.777399	514	0.928485
FBtr0077960	334.258	1.18127	523.671	1.62264	571.389	1.86532	242.596	0.59572	248.078	0.5864	289.995	0.630351	228.125	0.541919	254.786	0.508083	269.002	0.526011
FBtr0081729	84	0.0997421	158	0.164495	156	0.171111	55	0.0453786	115	0.0913343	129	0.0942132	49	0.0391101	101	0.0676723	99	0.0650437
FBtr0071982	605	1.52857	1069	2.36811	939	2.19153	105	0.184335	127	0.214619	91	0.141414	216	0.366839	242	0.345012	219	0.306157
FBtr0082849	110	0.302817	259	0.62515	170	0.432306	35.641	0.0681753	156	0.287243	136	0.230277	47.349	0.0876178	100.58	0.156239	113	0.172123
FBtr0082763	368	0.379713	707	0.639622	790	0.752989	149	0.106828	205	0.141481	219	0.138987	302	0.209463	396	0.230565	320	0.182696
FBtr0081717	187.411	0.27144	300.529	0.381646	252.64	0.338014	74.433	0.0749089	75.8123	0.0734438	79.7097	0.0710089	99.9847	0.0973432	82.344	0.0672978	81.4899	0.0653061
FBtr0078380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.000346859
FBtr0082177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.000346859
FBtr0076100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0083369	2.57136	0.00605814	10.0885	0.02084	15.1009	0.032865	9.10783	0.0149101	0	0	4.21978	0.00611491	17.6453	0.0279447	8.52344	0.0113314	9.97455	0.0130029
FBtr0301340	480.925	0.0498507	411.604	0.0374085	496.165	0.0475087	351.492	0.0253162	600.131	0.041608	139.879	0.00891802	530.694	0.036977	150.961	0.00882977	2.26921	0.000130149
FBtr0334483	1542.84	0.158807	2347.2	0.211833	2020.12	0.192079	510.964	0.0365449	1265.59	0.0871318	1318.67	0.0834843	411.05	0.0284404	1313.75	0.0763045	1503.52	0.0856301
FBtr0089793	4179.75	0.447276	4261.58	0.399846	5172.84	0.511339	3223.47	0.239684	2773.17	0.19849	2979.01	0.196074	1938.26	0.139422	2473.59	0.149363	2274.66	0.134683
FBtr0334482	104.486	0.0115306	73.6231	0.00712372	64.8712	0.00661306	17.0717	0.00130907	25.1081	0.0018533	19.4433	0.00131974	0	0	0	0	32.5533	0.00198776
FBtr0344988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.7026	0.00211128	0	0
FBtr0080984	402	1.33397	695	2.02209	638	1.95566	205	0.472675	259	0.574851	241	0.49188	212	0.472877	226	0.423173	206	0.378231
FBtr0300562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089904	0	0	0	0	1.22508	0.00148398	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0301521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089902	5.24846	0.00925095	0	0	0	0	8.48904	0.0103969	0	0	15.0075	0.0162699	17	0.0201417	0	0	0	0
FBtr0089900	8.74523	0.0128373	11.8959	0.0153107	10.2526	0.0139024	7.4687	0.00761793	0	0	0	0	0	0	0	0	0	0
FBtr0089905	0	0	0	0	8.95389	0.00987096	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089901	36.0063	0.0475912	55.1041	0.0638599	64.5684	0.0788355	10.0423	0.00922292	17	0.0150291	15.9925	0.0130013	0	0	33	0.0246123	49	0.0358356
FBtr0077141	16.7821	0.0806915	15	0.0632366	14	0.0621818	3	0.0100229	1	0.00321602	6.56358	0.0194109	2	0.00646405	2	0.00542628	4	0.0106417
FBtr0306593	6.21789	0.0224799	29	0.0919276	28	0.0935112	7	0.0175849	0	0	2.43642	0.00541784	4	0.00972087	5	0.0102003	2	0.00400086
FBtr0089046	0	0	0	0	0	0	3	0.00275138	0	0	0	0	0	0	0	0	0	0
FBtr0334614	0.00167856	1.59E-06	0.00498797	4.14E-06	0.00246906	2.16E-06	0.00313545	2.06E-06	0.00359591	2.28E-06	0.00171978	1.00E-06	0.00206678	1.31E-06	0.00285171	1.52E-06	0.0012687	6.64E-07
FBtr0334613	14.7875	0.0155824	41.5703	0.0384076	0	0	0	0	29.8765	0.0210574	47.0031	0.030464	35.4766	0.0251289	0	0	0	0
FBtr0082710	0	0	0.226391	0.000213707	5.63E-06	5.60E-09	0	0	2.43E-06	1.75E-09	11.0446	0.0073137	0	0	0	0	46.8466	0.027907
FBtr0082711	64.2108	0.0612682	60.1983	0.0503625	137.998	0.121633	70.9969	0.0470712	80.1199	0.0511333	43.9505	0.0257937	43.5213	0.027914	69.9971	0.0376876	30.1522	0.015919
FBtr0346950	0	0	0	0	0	0	0.5	0.00419761	0	0	0	0	0.5	0.00406075	0	0	0	0
FBtr0305948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0339456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0084933	16.5221	0.0529008	30.6389	0.0860135	19.6862	0.0582256	9.49225	0.0211182	1.21931	0.00261125	8.7426	0.0172171	4.61426	0.00993101	8.61921	0.0155724	13.1266	0.0232553
FBtr0082286	149	0.336197	276.089	0.546201	271	0.564847	49	0.0768233	79	0.119226	74	0.102698	50	0.0758352	49	0.062387	59	0.0736598
FBtr0302202	0	0	5.91126	0.0121302	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0077584	106	0.214828	175	0.31097	153	0.286437	13	0.018307	1	0.00135557	8	0.00997234	3	0.00408695	5	0.00571801	4	0.00448555
FBtr0071363	259.036	0.338894	350.653	0.402233	417.156	0.504146	158.25	0.143859	206.437	0.180646	194.174	0.156249	126.523	0.111267	183.68	0.135599	175.281	0.126885
FBtr0100028	3	0.0118459	0	0	7	0.0255327	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0077830	208	0.226264	310	0.295672	213	0.214035	98	0.0740743	134	0.0974976	152	0.101699	130	0.0950581	129	0.0791831	136	0.0818582
FBtr0077831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0086962	41	0.0223001	113	0.0538886	63	0.0316531	28	0.010582	37	0.0134605	45	0.0150542	24	0.00877459	39	0.0119695	27	0.00812563
FBtr0340214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
